Cmdline: /system/bin/simpleperf record --app com.example.openxcpro.debug --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --add-meta-info app_type=debuggable -f 400 --duration 95
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 63564
Event count: 255784272155

Overhead  Sample  Command                      Pid    Tid    Shared Object                                                                                                                     Symbol
0.09%     51      RenderThread                 15948  15978  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __aarch64_ldadd4_rel
0.09%     50      DefaultDispatch              15948  16005  /apex/com.android.art/lib64/libart.so                                                                                             void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
0.09%     48      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::Thread::CheckSuspend(bool)
0.09%     46      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::ClassLinker::FindClass(art::Thread*, art::DexFile const&, art::dex::TypeIndex, art::Handle<art::mirror::ClassLoader>)
0.09%     51      RenderThread                 15948  15978  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!325eecd4b75f86b12ebfefb45dece7!0c393b63cf!
0.09%     29      RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!6b200851123c7898055fe62ff9f71f!0c393b63cf!
0.09%     45      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::ArtMethod* art::mirror::Class::FindInterfaceMethodWithSignature<art::Signature>(art::ObjPtr<art::mirror::Class>, std::__1::basic_string_view<char, std::__1::char_traits<char> >, art::Signature const&, art::PointerSize)
0.09%     83      DefaultDispatch              15948  16094  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.09%     31      RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!115befedd67dce09304c97e11cb591!0c393b63cf!
0.08%     60      DefaultDispatch              15948  16002  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.08%     87      DefaultDispatch              15948  15973  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.08%     80      DefaultDispatch              15948  16001  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.08%     47      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   androidx.compose.runtime.ComposerImpl.nextSlotForCache
0.08%     48      RenderThread 20              15948  16067  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig> >::popBlocksImpl(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig> > >*, unsigned long, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig> >::RegionInfo*, unsigned int*, unsigned short)
0.08%     81      DefaultDispatch              15948  16003  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.08%     42      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::Jit::MethodEntered(art::Thread*, art::ArtMethod*)
0.08%     73      DefaultDispatch              15948  16062  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.08%     70      DefaultDispatch              15948  16007  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.08%     45      RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+66d728]
0.08%     64      DefaultDispatch              15948  15971  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.08%     46      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   com.example.xcpro.map.ui.MapScreenContentRuntimeKt.MapScreenContent
0.08%     42      RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+8d4514]
0.08%     42      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art_quick_invoke_stub
0.08%     47      RenderThread 20              15948  16067  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::Allocator<scudo::AndroidNormalConfig, &(scudo_malloc_postinit)>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.08%     37      RenderThread                 15948  15978  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!271a1afe8c5115209a7c5a29afd3cc!0c393b63cf!
0.08%     47      RenderThread 20              15948  16067  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::HybridMutex::tryLock()
0.08%     68      DefaultDispatch              15948  16004  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.08%     41      com.example.openxcpro.debug  15948  15948  [vdso]                                                                                                                            __kernel_clock_gettime
0.08%     43      RenderThread                 15948  15978  /system/lib64/libhwui.so                                                                                                          android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
0.08%     54      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::JitCodeCache::DoneCompiling(art::ArtMethod*, art::Thread*)
0.08%     43      RenderThread 20              15948  16067  [vdso]                                                                                                                            __kernel_clock_gettime
0.08%     51      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::MemMapArenaPool::TrimMaps()
0.07%     42      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::BuildGenericJniFrameVisitor::Visit()
